c:\john\code\logwiz\logwizard\ui\Dummy.cs(44): 11:35:38,307 9          INFO  - Started LogWizard v1.2.24.0
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,821 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635769097890509362\TableNinja2.log.1 -> Name-TableNinja2.log.1
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,823 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635769097890509362\TableNinja2.log.1 -> Fast-d2d79b06af4d108df699c3e3123468e7-374254
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,824 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635769097890509362\TableNinja2.log.2 -> Name-TableNinja2.log.2
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,825 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635769097890509362\TableNinja2.log.2 -> Fast-0dda55952bfa22834d435c2762aa0cfd-52776
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,826 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635769097890509362\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,827 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635769097890509362\TableNinja2.log -> Fast-839c56288ce0c5791c981e9deaad5eff-251224
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,828 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635778268429878146\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,829 9          DEBUG - [md5] computed md5 for C:\john\code\buff\ftp-win10\TNLogs-DENISE-DeniseTiernan-635778268429878146\TableNinja2.log -> Fast-d1db65fb7a039f7a02eda966eefb8ed4-459258
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,830 9          DEBUG - [md5] computed md5 for C:\john\code\buff\hk-not-working\TNLogs-DEAN-PC-Dean-635779653638944109\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,831 9          DEBUG - [md5] computed md5 for C:\john\code\buff\hk-not-working\TNLogs-DEAN-PC-Dean-635779653638944109\TableNinja2.log -> Fast-a91a578b1b661846688ef45f0aedc38c-160001
